"GeneA"	"GeneB"	"Connection"
"LEF1"	"TLE2/LEF1_(complex)"	"component>"
"LEF1"	"TRA"	"-t"
"LEF1"	"TRB"	"-t"
"LEF1"	"UGT8"	"-t"
"LEF1"	"VIM"	"-t"
"LEF1"	"WNT1"	"-t"
"LEF1/beta_catenin/CDX1_(complex)"	"CDX1"	"-t>"
"LEF1/beta_catenin/PITX2_(complex)"	"LEF1"	"-t>"
"LEF1/beta_catenin_(complex)"	"CACNA1G"	"-t>"
"LEF1/beta_catenin_(complex)"	"CCND1"	"-t>"
"LEF1/beta_catenin_(complex)"	"CDH1"	"-t|"
"LEF1/beta_catenin_(complex)"	"CDKN2A"	"-t|"
"LEF1/beta_catenin_(complex)"	"CDX4"	"-t>"
"LEF1/beta_catenin_(complex)"	"DKK4"	"-t>"
"LEF1/beta_catenin_(complex)"	"FGF4"	"-t>"
"LEF1/beta_catenin_(complex)"	"KCNIP4"	"-t>"
"LEF1/beta_catenin_(complex)"	"KRT1"	"-t>"
"LEF1/beta_catenin_(complex)"	"LEF1/beta_catenin/CDX1_(complex)"	"component>"
"LEF1/beta_catenin_(complex)"	"LEF1/beta_catenin/PITX2_(complex)"	"component>"
"LEF1/beta_catenin_(complex)"	"MITF"	"-t>"
"LEF1/beta_catenin_(complex)"	"MMP2"	"-t>"
"LEF1/beta_catenin_(complex)"	"MMP9"	"-t>"
"LEF1/beta_catenin_(complex)"	"MT-CO2"	"-t>"
"LEF1/beta_catenin_(complex)"	"PITX2"	"-t>"
"LEF1/beta_catenin_(complex)"	"SALL4"	"-t>"
"LEF1/beta_catenin_(complex)"	"SNAI2"	"-t>"
"LEF1/beta_catenin_(complex)"	"SP5"	"-t>"
"LEF1/beta_catenin_(complex)"	"TBXT"	"-t>"
"LEFTY1"	"LEFTY1_and_LEFTY2_(family)"	"member>"
"LEFTY1_and_LEFTY2_(family)"	"LEFTY/EGF-CFC_Coreceptor_Complex_in_the_NODAL_Receptor_(complex)"	"component>"
"LEFTY1_and_LEFTY2_(family)"	"LEFTY/NODAL_(complex)"	"component>"
"LEFTY2"	"LEFTY1_and_LEFTY2_(family)"	"member>"
"LEFTY2"	"TGF_beta_(family)"	"member>"
"Lens_fiber_major_intrinsic_protein_(AQP0)_tetramer_(complex)"	"Aquaporins_that_transport_water_across_the_plasma_membrane._(family)"	"member>"
"LEP"	"Acyl_Ghrelin_(family)"	"-a|"
"LEP"	"GHRL"	"-a|"
"LEP"	"Glucagon-like_Peptide-1_(family)"	"-a>"
"LEP"	"Jak2/Leptin_Receptor/Leptin_(complex)"	"component>"
"LEP"	"Leptin/Leptin_R_(complex)"	"component>"
"LEPR"	"Jak2/Leptin_Receptor/Leptin_(complex)"	"component>"
"LEPR"	"Jak2/Leptin_Receptor_(complex)"	"component>"
"LEPR"	"Leptin/Leptin_R_(complex)"	"component>"
"Leptin/Leptin_R_(complex)"	"PRKAB1"	"-a>"
"LEWY BODY"	"cell_death_(abstract)"	"-a>"
"LEWY_BODY_(complex)"	"26S_Proteasome_(complex)"	"-a|"
"LFNG"	"NICD_(family)"	"-a|"
"LGALS1"	"HRAS/GTP/Galectin-1_(complex)"	"component>"
"LGALS3"	"AGER-1_2_3_(family)"	"member>"
"LGALS3"	"HRAS/GTP_(complex)"	"-a>"
"LGALS3"	"NRAS/GTP_(complex)"	"-a>"
"LGALS3"	"Su(fu)/Galectin3_(complex)"	"component>"
"LGMN"	"CUBN"	"-a>"
"LH_receptor/LH_(complex)"	"Ligand/GPCR_complexes_that_activate_Gs_(family)"	"member>"
"LHB"	"Lutropin_(complex)"	"component>"
"LHCGR"	"ARF6/GTP_(complex)"	"-a|"
"LHCGR"	"ARRB2"	"-a|"
"LHCGR"	"GPCRs_that_activate_Gs_(family)"	"member>"
"LHCGR"	"LH_receptor/LH_(complex)"	"component>"
"LHCGR"	"LHCGR/beta_Arrestin2_(complex)"	"component>"
"LHCGR/beta_Arrestin2_(complex)"	"desensitization_of_G-protein_coupled_receptor_protein_signaling_pathway_(abstract)"	"-a>"
"LHX2"	"POU1F1"	"-t>"
"LHX2"	"PRL"	"-t>"
"LHX2"	"TSHB"	"-t>"
"LHX3"	"FSHB"	"-t>"
"LHX4"	"POU1F1"	"-t>"
"LIF"	"RAS_activating_ligand_(family)"	"member>"
"LIG1"	"APE1/DNA_ligase_I_complex_(complex)"	"component>"
"LIG1"	"LIG1"	"-a>"
"LIG1"	"Ligated_patch-repaired_DNA_(complex)"	"-a>"
"LIG1"	"Processive_complex_loaded_on_telomere/ligated_C-strand_Okazaki_fragments_(complex)"	"-a>"
"LIG1"	"RTC_with_integration_competent_viral_DNA_(complex)"	"-a>"
"LIG3"	"LIG3/XRRC1_complex_(complex)"	"component>"
"LIG3"	"LIG3/XRRC1-bound_DNA_strand_containing_the_ligated_residue_(complex)"	"-a>"
"LIG3/XRRC1_complex_(complex)"	"LIG3/XRCC1/POL_Beta/DNA_strand_break_containing_replaced_unligated_residue_(complex)"	"component>"
"LIG3/XRRC1_complex_(complex)"	"LIG3/XRCC1/POL_Beta_complex_at_site_of_base_repair_(complex)"	"component>"
"LIG3/XRRC1_complex_(complex)"	"LIG3/XRRC1-bound_DNA_strand_containing_the_ligated_residue_(complex)"	"component>"
"LIG4"	"DNA-PK/XRCC4/DNA_ligase_IV/DNA__complex_associated_with_ligatable_DNA_ends_(complex)"	"component>"
"LIG4"	"Ku/Artemis/DNA-PKcs_(dimer)/DNTT/XRCC4_(dimer)/Ligase_IV_(complex)"	"component>"
"LIG4"	"Ku/Artemis/DNA-PKcs_(dimer)/Pol_Mu/XRCC4_(dimer)/Ligase_IV/APLF_(complex)"	"component>"
"LIG4"	"Ku/Artemis/DNA-PKcs_(dimer)/Pol_Mu/XRCC4_(dimer)/Ligase_IV/Aprataxin_(complex)"	"component>"
"LIG4"	"Ku/Artemis/DNA-PKcs_(dimer)/Pol_Mu/XRCC4_(dimer)/Ligase_IV/PNKP_(complex)"	"component>"
"LIG4"	"Ku/Artemis/DNA-PKcs_(dimer)/Pol_Mu/XRCC4_(dimer)/Ligase_IV/XLF_(dimer)_(complex)"	"component>"
"LIG4"	"Ku/Artemis/DNA-PKcs_(dimer)/Pol_Mu/XRCC4_(dimer)/Ligase_IV_(complex)"	"component>"
"LIG4"	"Ku/Artemis/DNA-PKcs_(dimer)/POLL/XRCC4_(dimer)/Ligase_IV/XLF_(dimer)_(complex)"	"component>"
"LIG4"	"Ku/Artemis/DNA-PKcs_(dimer)/POLL/XRCC4_(dimer)/Ligase_IV_(complex)"	"component>"
"LIG4"	"LIG4"	"-a>"
"LIG4"	"PRKDC"	"-a>"
"LIG4"	"XRCC4"	"-a>"
"LIG4"	"XRCC4/DNA_ligase_IV_complex_(complex)"	"component>"
"LIG4"	"XRCC4_(dimer)/Ligase_IV_(complex)"	"component>"
"LIG4"	"XRCC5"	"-a>"
"LIG4"	"XRCC6"	"-a>"
"Ligand/B2AR/G-gamma/G-beta_(complex)"	"Ligand/B2AR/G-gamma/G-beta/PKA/CFTR/Ezrin/EBP50/EBP50_(complex)"	"component>"
"Ligand/GPCR(+)/Arrestin/(SRC/Hck/c-Fgr)_(complex)"	"DNM1"	"-a>"
"Ligand/GPCR(+)/Arrestin/(SRC/Hck/c-Fgr)_(complex)"	"HRAS"	"-a>"
"Ligand/GPCR(+)/Arrestin/AP2_(complex)"	"Arrestin/AP2_(complex)"	"component>"
"Ligand/GPCR(+)/Arrestin/AP2_(complex)"	"ligand/GPCR(+)_(complex)"	"component>"
"Ligand/GPCR(+)/Arrestin_(complex)"	"Ligand/GPCR(+)/Arrestin/(SRC/Hck/c-Fgr)_(complex)"	"component>"
"Ligand/GPCR(+)/Arrestin_(complex)"	"Ligand/GPCR(+)/Arrestin/AP2_(complex)"	"component>"
"Ligand/GPCR(+)/Arrestin_(complex)"	"Ligand/GPCR(+)/Arrestin/RAF1/MEK1/MEK2/ERK1/ERK2_(complex)"	"component>"
"Ligand/GPCR(+)/g-beta/g-gamma_(complex)"	"g-gamma/g-beta_(complex)"	"component>"
"Ligand/GPCR(+)/g-beta/g-gamma_(complex)"	"Ligand/GPCR(+)/Arrestin_(complex)"	"component>"
"Ligand/GPCR/G-alpha-q_(complex)"	"PLCB1"	"-a>"
"Ligand/GPCR_complexes_that_activate_G12/13/Heterotrimeric_G-protein_G12/13_(inactive)._(complex)"	"Ligand/GPCR_complexes_that_activate_G12/13/Heterotrimeric_G-protein_G12/13_(active)._(complex)"	"-a>"
"Ligand/GPCR_complexes_that_activate_G12/13_(family)"	"Ligand/GPCR_complexes_that_activate_G12/13/Heterotrimeric_G-protein_G12/13_(active)._(complex)"	"component>"
"Ligand/GPCR_complexes_that_activate_G12/13_(family)"	"Ligand/GPCR_complexes_that_activate_G12/13/Heterotrimeric_G-protein_G12/13_(inactive)._(complex)"	"component>"
"Ligand/GPCR_complexes_that_activate_Gi/Heterotrimeric_G-protein_Gi_(inactive)_(complex)"	"Ligand/GPCR_complexes_that_activate_Gi/Heterotrimeric_G-protein_Gi_(active)_(complex)"	"-a>"
"Ligand/GPCR_complexes_that_activate_Gi_(family)"	"Ligand/GPCR_complexes_that_activate_Gi/Heterotrimeric_G-protein_Gi_(active)_(complex)"	"component>"
"Ligand/GPCR_complexes_that_activate_Gi_(family)"	"Ligand/GPCR_complexes_that_activate_Gi/Heterotrimeric_G-protein_Gi_(inactive)_(complex)"	"component>"
"Ligand/GPCR_complexes_that_activate_Gq/11/Heterotrimeric_G-protein_Gq_(inactive)_(complex)"	"Ligand/GPCR_complexes_that_activate_Gq/11/Heterotrimeric_G-protein_Gq_(active)_(complex)"	"-a>"
"Ligand/GPCR_complexes_that_activate_Gq/11_(family)"	"Ligand/GPCR_complexes_that_activate_Gq/11/Heterotrimeric_G-protein_Gq_(active)_(complex)"	"component>"
"Ligand/GPCR_complexes_that_activate_Gq/11_(family)"	"Ligand/GPCR_complexes_that_activate_Gq/11/Heterotrimeric_G-protein_Gq_(inactive)_(complex)"	"component>"
"Ligand/GPCR_complexes_that_activate_Gs/Heterotrimeric_G-protein_Gs_(inactive)_(complex)"	"GPCR/ligand_complexes_that_act_on_Gs/Heterotrimeric_G-protein_Gs_(active)_(complex)"	"-a>"
"Ligand/GPCR_complexes_that_activate_Gs_(family)"	"GPCR/ligand_complexes_that_act_on_Gs/Heterotrimeric_G-protein_Gs_(active)_(complex)"	"component>"
"Ligand/GPCR_complexes_that_activate_Gs_(family)"	"Ligand/GPCR_complexes_that_activate_Gs/Heterotrimeric_G-protein_Gs_(inactive)_(complex)"	"component>"
"Ligand/GPCR_complexes_that_activate_Gz/Heterotrimeric_G-protein_Gz_(inactive)_(complex)"	"Ligand/GPCR_complexes_that_activate_Gz/Heterotrimeric_G-protein_Gz_(active)_(complex)"	"-a>"
"Ligand/GPCR_complexes_that_activate_Gz_(family)"	"Ligand/GPCR_complexes_that_activate_Gz/Heterotrimeric_G-protein_Gz_(active)_(complex)"	"component>"
"Ligand/GPCR_complexes_that_activate_Gz_(family)"	"Ligand/GPCR_complexes_that_activate_Gz/Heterotrimeric_G-protein_Gz_(inactive)_(complex)"	"component>"
"Ligand_(family)"	"G-alpha-q/PLC-beta/TUBBY_(complex)"	"component>"
"Ligand_(family)"	"G-gamma/G-beta/GTP_(complex)"	"component>"
"Ligand_(family)"	"GTP/G-alpha-S_(complex)"	"component>"
"Ligand_(family)"	"Ligand/B2AR/G-alpha-S_(complex)"	"component>"
"Ligand_(family)"	"Ligand/B2AR/G-gamma/G-beta/PKA/CFTR/Ezrin/EBP50/EBP50_(complex)"	"component>"
"Ligand_(family)"	"Ligand/B2AR/G-gamma/G-beta_(complex)"	"component>"
"Ligand_(family)"	"Ligand/GPCR(+)/Arrestin/(SRC/Hck/c-Fgr)(cy)_(complex)"	"component>"
"Ligand_(family)"	"Ligand/GPCR(+)/Arrestin/(SRC/Hck/c-Fgr)_(complex)"	"component>"
"Ligand_(family)"	"Ligand/GPCR(+)/Arrestin/AP2_(complex)"	"component>"
"Ligand_(family)"	"Ligand/GPCR(+)/Arrestin/RAF1/MEK1/MEK2/ERK1/ERK2(cy)_(complex)"	"component>"
"Ligand_(family)"	"Ligand/GPCR(+)/Arrestin/RAF1/MEK1/MEK2/ERK1/ERK2_(complex)"	"component>"
"Ligand_(family)"	"Ligand/GPCR(+)/Arrestin_(complex)"	"component>"
"Ligand_(family)"	"Ligand/GPCR(+)/g-beta/g-gamma_(complex)"	"component>"
"Ligand_(family)"	"ligand/GPCR(+)_(complex)"	"component>"
"Ligand_(family)"	"Ligand/GPCR/G-alpha-q_(complex)"	"component>"
"Ligand_(family)"	"Ligand/GPCR/g-beta/g-gamma_(complex)"	"component>"
"Ligand_(family)"	"ligand/GPCR_(complex)"	"component>"
"Ligand_binding_(abstract)"	"alpha6/beta4_Integrin/Laminin_(complex)"	"-a|"
"Ligand_binding_(abstract)"	"alpha6/beta4_Integrin_(complex)"	"-a|"
"Ligand_Trap_(family)"	"Ligand_Trap/BMP2_(complex)"	"component>"
"Ligand-responsive_EGFR_mutants/HSP90/CDC37_(family)"	"Ligand-responsive_EGFR_mutants_dimer_(complex)"	"component>"
"Ligand-responsive_EGFR_mutants_dimer_(complex)"	"Active_dimers_of_ligand-responsive_EGFR_mutants_(family)"	"member>"
"Ligand-responsive_EGFR_mutants_resistant_to_non-covalent_TKIs/HSP90/CDC37_(complex)"	"Dimers_of_ligand-responsive_EGFR_mutants_resistant_to_non-covalent_TKIs_(complex)"	"component>"
"Ligand-responsive_EGFR_mutants_resistant_to_non-covalent_TKIs/HSP90/CDC37_(complex)"	"Ligand-responsive_EGFR_mutants/HSP90/CDC37_(family)"	"member>"
"Ligand-responsive_EGFR_mutants_resistant_to_non-covalent_TKIs_(family)"	"EGF/Ligand-responsive_EGFR_mutants_resistant_to_non-covalent_TKIs/HSP90/CDC37_(complex)"	"component>"
"Ligand-responsive_EGFR_mutants_resistant_to_non-covalent_TKIs_(family)"	"Ligand-responsive_EGFR_mutants_(family)"	"member>"
"Ligand-responsive_EGFR_mutants_resistant_to_non-covalent_TKIs_(family)"	"Ligand-responsive_EGFR_mutants_resistant_to_non-covalent_TKIs/HSP90/CDC37_(complex)"	"component>"
"Ligand-responsive_EGFR_mutants_sensitive_to_non-covalent_TKIs/HSP90/CDC37_(complex)"	"Dimers_of_ligand-responsive_EGFR_mutants_sensitive_to_non-covalent_TKIs_(complex)"	"component>"
"Ligand-responsive_EGFR_mutants_sensitive_to_non-covalent_TKIs/HSP90/CDC37_(complex)"	"Ligand-responsive_EGFR_mutants/HSP90/CDC37_(family)"	"member>"
"Ligand-responsive_EGFR_mutants_sensitive_to_non-covalent_TKIs_(family)"	"EGF/Ligand-responsive_EGFR_mutants_sensitive_to_non-covalent_TKIs/HSP90/CDC37_(complex)"	"component>"
"Ligand-responsive_EGFR_mutants_sensitive_to_non-covalent_TKIs_(family)"	"Ligand-responsive_EGFR_mutants_(family)"	"member>"
"Ligand-responsive_EGFR_mutants_sensitive_to_non-covalent_TKIs_(family)"	"Ligand-responsive_EGFR_mutants_sensitive_to_non-covalent_TKIs/HSP90/CDC37_(complex)"	"component>"
"Ligand-responsive_p-6Y-EGFR_mutant_dimers_(family)"	"Ligand-responsive_p-6Y-EGFR_mutants/CBL_(complex)"	"component>"
"Ligand-responsive_p-6Y-EGFR_mutant_dimers_(family)"	"Ligand-responsive_p-6Y-EGFR_mutants/p-Y371-CBL_(complex)"	"component>"
"Ligand-responsive_p-6Y-EGFR_mutant_dimers_(family)"	"p-EGFR_mutants_dimer_(family)"	"member>"
"Ligand-responsive_p-6Y-EGFR_mutants/CBL_(complex)"	"Ligand-responsive_p-6Y-EGFR_mutants/p-Y371-CBL_(complex)"	"-a>"
"Ligand-responsive_p-6Y-EGFR_mutants/CBL_(complex)"	"Ligand-responsive_Ub-p-6Y-EGFR_mutants/p-Y371-CBL_(complex)"	"-a|"
"Ligand-responsive_p-6Y-EGFR_mutants/HSP90/CDC37_(family)"	"Dimers_of_ligand-responsive_p-6Y-EGFR_mutants_(complex)"	"component>"
"Ligand-responsive_p-6Y-EGFR_mutants/p-Y371-CBL_(complex)"	"Ligand-responsive_Ub-p-6Y-EGFR_mutants/p-Y371-CBL_(complex)"	"component>"
"Ligand-responsive_p-6Y-EGFR_mutants_resistant_to_non-covalent_TKIs/HSP90/CDC37_(complex)"	"Ligand-responsive_p-6Y-EGFR_mutants/HSP90/CDC37_(family)"	"member>"
"Ligand-responsive_p-6Y-EGFR_mutants_resistant_to_non-covalent_TKIs_(family)"	"EGF/Ligand-responsive_p-6Y-EGFR_mutants_resistant_to_non-covalent_TKIs/HSP90/CDC37_(complex)"	"component>"
"Ligand-responsive_p-6Y-EGFR_mutants_resistant_to_non-covalent_TKIs_(family)"	"Ligand-responsive_p-6Y-EGFR_mutants_resistant_to_non-covalent_TKIs/HSP90/CDC37_(complex)"	"component>"
"Ligand-responsive_p-6Y-EGFR_mutants_sensitive_to_non-covalent_TKIs/HSP90/CDC37_(complex)"	"Ligand-responsive_p-6Y-EGFR_mutants/HSP90/CDC37_(family)"	"member>"
"Ligand-responsive_p-6Y-EGFR_mutants_sensitive_to_non-covalent_TKIs_(family)"	"EGF/Ligand-responsive_p-6Y-EGFR_mutants_sensitive_to_non-covalent_TKIs/HSP90/CDC37_(complex)"	"component>"
"Ligand-responsive_p-6Y-EGFR_mutants_sensitive_to_non-covalent_TKIs_(family)"	"Ligand-responsive_p-6Y-EGFR_mutants_sensitive_to_non-covalent_TKIs/HSP90/CDC37_(complex)"	"component>"
"Ligands_of_FFAR1_(GPR40)_(family)"	"Free_fatty_acid_receptor_1/fatty_acid_complex_(complex)"	"component>"
"Ligands_of_FFAR1_(GPR40)_(family)"	"Ligands_of_GPCRs_that_activate_Gq/11_(family)"	"member>"
"Ligands_of_GPR119_(family)"	"GPR119/Fatty_Acid_Complex_(complex)"	"component>"
"Ligands_of_PPARG_(family)"	"PPARG/RXRA/fatty_acid/Mediator/Coactivator_Complex_(complex)"	"component>"
"Ligands_recognized_by_TLR7_and_TLR8_(family)"	"TLR7_or_TLR8/recognized_ligand_(complex)"	"component>"
"Light-sensing_opsins_(family)"	"Opsins/photon_(complex)"	"component>"
"LILR_set_(family)"	"MHC_Class_I_interacting_with_LILRs_(complex)"	"component>"
"LILRA1"	"LILR_set_(family)"	"member>"
"LILRB1"	"LILR_set_(family)"	"member>"
"LILRB2"	"LILR_set_(family)"	"member>"
"LILRB3"	"LILR_set_(family)"	"member>"
"LILRB4"	"LILR_set_(family)"	"member>"
"LILRB5"	"LILR_set_(family)"	"member>"
"LILR-binding_HLA_Class_I_(family)"	"LILR-interacting_MHC_Class_I_molecules_(complex)"	"component>"
"LILR-interacting_MHC_Class_I_molecules_(complex)"	"MHC_Class_I_interacting_with_LILRs_(complex)"	"component>"
"LIMA1"	"E-cadherin/Ca2+/beta_catenin/alpha_catenin/p120_catenin/EPLIN/cortical_actin_cytoskeleton_(complex)"	"component>"
"LIMA1"	"E-cadherin/Ca2+/beta_catenin/alpha_catenin/p120_catenin/EPLIN_(complex)"	"component>"
"LIMD1"	"HIF1A"	"-t|"
"limit_dextrin-glycogenin-1_dimer_(complex)"	"limit_dextrin-glycogenin_dimer_(family)"	"member>"
"limit_dextrin-glycogenin-2_dimer_(complex)"	"limit_dextrin-glycogenin_dimer_(family)"	"member>"
"LIMK1"	"Actin/MAL_(complex)"	"-a|"
"LIMK1"	"Active_LIMK1_(complex)"	"component>"
"LIMK1"	"CFL1"	"-a>"
"LIMK1"	"CFL2"	"-a>"
"LIMK1"	"chemotaxis_(abstract)"	"-a>"
"LIMK1"	"LIM_Kinases_(family)"	"member>"
"LIMK1"	"LIM_Kinases_phosphorylated_(family)"	"member>"
"LIMK1"	"LIMK1-LIMK2_(family)"	"member>"
"LIMK1"	"pLIMK_dimer/HSP-90_(complex)"	"component>"
"LIMK1"	"positive_regulation_of_lamellipodium_assembly_(abstract)"	"-a>"
"LIMK1-LIMK2_(family)"	"CFL1"	"-a>"
"LIMK2"	"CFL1"	"-a>"
"LIMK2"	"LIM_Kinases_(family)"	"member>"
"LIMK2"	"LIM_Kinases_phosphorylated_(family)"	"member>"
"LIMK2"	"LIMK1-LIMK2_(family)"	"member>"
"LIMS1"	"ILK/PINCH1/alpha_parvin/Paxillin_(complex)"	"component>"
"LIMS1"	"ILK/PINCH1/alpha_parvin/tensin_(complex)"	"component>"
"LIMS1"	"ILK/PINCH1/alpha_parvin/zyxin_(complex)"	"component>"
"LIMS1"	"ILK/PINCH1/alpha_parvin_(complex)"	"component>"
"LIMS1"	"ILK/PINCH1/beta_parvin/alpha-actinin_(complex)"	"component>"
"LIMS1"	"ILK/PINCH1/beta_parvin_(complex)"	"component>"
"LIMS1"	"ILK/PINCH1/NCK2_(complex)"	"component>"
"LIMS1"	"ILK/PINCH1_(complex)"	"component>"
"LIMS1"	"ILK/PINCH2/alpha_parvin_(complex)"	"component>"
"LIMS1"	"PINCH_(family)"	"member>"
"LIMS1"	"Rsu-1/Pinch1_complex_(complex)"	"component>"
"LIMS2"	"ILK/PINCH1/alpha_parvin_(complex)"	"component>"
"LIMS2"	"ILK/PINCH2/alpha_parvin_(complex)"	"component>"
"LIMS2"	"PINCH_(family)"	"member>"
"LIN28A"	"CCND1"	"-t"
"LIN28A"	"CDC25A"	"-t"
"LIN37"	"LIN9/LIN37/LIN52/LIN54/RBBP4_(complex)"	"component>"
"LIN37"	"p-MuvB_complex_(complex)"	"component>"
"LIN52"	"LIN9/LIN37/LIN52/LIN54/RBBP4_(complex)"	"component>"
"LIN52"	"p-MuvB_complex_(complex)"	"component>"
"LIN54"	"LIN9/LIN37/LIN52/LIN54/RBBP4_(complex)"	"component>"
"LIN54"	"p-MuvB_complex_(complex)"	"component>"
"LIN7A"	"TIP1/VELI1/TAX/TRX_(complex)"	"component>"
"LIN9"	"LIN9/LIN37/LIN52/LIN54/RBBP4_(complex)"	"component>"
"LIN9"	"p-MuvB_complex_(complex)"	"component>"
"linear_duplex_viral_DNA_(complex)"	"Integrated_provirus_(complex)"	"component>"
"linear_duplex_viral_DNA_(complex)"	"Ku_proteins_bound_to_viral_DNA_(complex)"	"component>"
"linear_duplex_viral_DNA_(complex)"	"PIC_(PreIntegration_Complex)_(complex)"	"component>"
"linear_duplex_viral_DNA_(complex)"	"RTC_with_integration_competent_viral_DNA_(complex)"	"component>"
"linear_duplex_viral_DNA_(complex)"	"viral_DNA_bound_with_Integrase_(complex)"	"component>"
"LINGO1"	"LINGO1-2"	"-a>"
"LIPC"	"chylomicron_remnant/apoE/LDLR_complex_(complex)"	"-a>"
"LIPE"	"phosphorylated_HSL_dimer_(complex)"	"component>"
"Lipoprotein(a)_(complex)"	"alphaM/beta2_Integrin/lipoprotein(a)_(complex)"	"component>"
"lipoprotein_lipase_dimer_(complex)"	"HSPG-bound_lipoprotein_lipase_(complex)"	"component>"
"PAFAH1B1"	"CDLC/LIS1/NUDEL_(complex)"	"component>"
"PAFAH1B1"	"LIS1/LIS1/CLIP170/dynein/dynactin_(complex)"	"component>"
"PAFAH1B1"	"LIS1/LIS1/CLIP170_(complex)"	"component>"
"LIS1/CLIP170/Dynein_Complex/Dynactin_Complex_(complex)"	"anaphase_(abstract)"	"-a>"
"LIS1/CLIP170/Dynein_Complex/Dynactin_Complex_(complex)"	"LIS1/CLIP170_(complex)"	"component>"
"LIS1/CLIP170_(complex)"	"LIS1/CLIP170/Dynein_Complex/Dynactin_Complex_(complex)"	"component>"
"LIS1/IQGAP1_(complex)"	"CDC42"	"-a|"
"LIS1/IQGAP1_(complex)"	"RAC1"	"-a|"
"LIS1/IQGAP1_(complex)"	"RHOA"	"-a>"
"LIS1/LIS1/CLIP170/dynein/dynactin_(complex)"	"LIS1/LIS1/CLIP170_(complex)"	"component>"
"LIS1/LIS1/CLIP170/dynein/dynactin_(complex)"	"retrograde_axon_cargo_transport_(abstract)"	"-a>"
"LIS1/LIS1/CLIP170_(complex)"	"LIS1/LIS1/CLIP170/dynein/dynactin_(complex)"	"component>"
"LKB1/CDC37/HSP90_(complex)"	"degradation_(abstract)"	"-a|"
"LKB1/ER_alpha_(complex)"	"CTSD"	"-t>"
"LKB1/ER_alpha_(complex)"	"MYC"	"-t>"
"LKB1/ER_alpha_(complex)"	"PSEN2"	"-t>"
"LKB1/MO25/STRADA-STRADB_(complex)"	"AMPKK1-AMPKK2_(family)"	"-a|"
"LKB1/MO25/STRADA-STRADB_(complex)"	"BRSK1"	"-a|"
"LKB1/MO25/STRADA-STRADB_(complex)"	"BRSK2"	"-a|"
"LKB1/MO25/STRADA-STRADB_(complex)"	"establishment_of_cell_polarity_(abstract)"	"-a>"
"LKB1/MO25/STRADA-STRADB_(complex)"	"MARK2"	"-a|"
"LKB1/MO25/STRADA-STRADB_(complex)"	"MARK4"	"-a|"
"LKB1/MO25/STRADA-STRADB_(complex)"	"SIK1"	"-a|"
"LKB1/MO25/STRADA-STRADB_(complex)"	"SIK2"	"-a|"
"LKB1/MO25/STRADA-STRADB_(complex)"	"SIK3"	"-a|"
"LKB1/MO25/STRADA-STRADB_(complex)"	"STK26"	"-a|"
"LKB1/MO25/STRADA-STRADB_(complex)"	"Wnt_receptor_signaling_pathway_(abstract)"	"-a>"
"LKB1/STRAD/MO25_(complex)"	"p-AMPK_heterotrimer_(complex)"	"-a>"
"LMAN1"	"LMAN1/MCFD2_(complex)"	"component>"
"LMAN1"	"PTPN2-2"	"-a|"
"LMAN1/MCFD2_(complex)"	"Glycoproteins_with_Man8_N-glycans_(family)"	"-a>"
"LMNA"	"apoptosis_(abstract)"	"-a>"
"LMNA"	"Lamin_A/C/Lamin_B1/Lamin_B2_(cleaved)_(complex)"	"component>"
"LMNA"	"Lamins_(cleaved)_(family)"	"member>"
"LMNA"	"Lamins_(family)"	"member>"
"LMNA"	"LMNA"	"-a>"
"LMNA"	"Telomere_Attachment_Plate_(complex)"	"component>"
"LMNB1"	"Lamin_A/C/Lamin_B1/Lamin_B2_(cleaved)_(complex)"	"component>"
"LMNB1"	"Lamins_(cleaved)_(family)"	"member>"
"LMNB1"	"Lamins_(family)"	"member>"
"LMNB1"	"Telomere_Attachment_Plate_(complex)"	"component>"
"LMNB2"	"Lamin_A/C/Lamin_B1/Lamin_B2_(cleaved)_(complex)"	"component>"
"LMNB2"	"Lamins_(cleaved)_(family)"	"member>"
"LMNB2"	"Lamins_(family)"	"member>"
"LMO2"	"ANGPT2"	"-t"
"LMO2"	"CDH1"	"-t|"
"LMO2"	"ELK1"	"-t"
"LMO2"	"ERG"	"-t>"
"LMO2"	"FGF2"	"-t>"
"LMO2"	"GYPA"	"-t|"
"LMO2"	"LEF1"	"-t|"
"LMO2"	"LYL1"	"-t"
"LMO2"	"NFATC1"	"-t>"
"LMO2"	"ZEB1"	"-t|"
"LMO3"	"ASCL1"	"-t>"
"LMO3"	"HES1"	"-t|"
"LMO4"	"BMP7"	"-t>"
"LMO4"	"BRCA1"	"-t|"
"LMO4"	"DLG4"	"-t|"
"LMO4"	"ERA/MTA1/HDAC1/LMO4_(complex)"	"component>"
"LMO4"	"ESR1"	"-t"
"LMO4"	"gp130_(dimer)/JAK1/JAK1/LMO4_(complex)"	"component>"
"LMO4"	"gp130_(dimer)/JAK2/JAK2/LMO4_(complex)"	"component>"
"LMO4"	"gp130_(dimer)/TYK2/TYK2/LMO4_(complex)"	"component>"
"LMO4"	"IL6/IL6RA/gp130_(dimer)/JAK1/JAK1/LMO4/Hck_(complex)"	"component>"
"LMO4"	"IL6/IL6RA/gp130_(dimer)/JAK1/JAK1/LMO4/SOCS3_(complex)"	"component>"
"LMO4"	"IL6/IL6RA/gp130_(dimer)/JAK1/JAK1/LMO4_(complex)"	"component>"
